Scope	Category	Sub-category	Activity / aspect	Data	 2020-21 Value 	Unit	2020 Carbon conversion factor (to convert to kg CO2e) (see Notes)	 Gross Carbon Footprint (tonnes CO2e) 	Data source	Data owner	Current status
1	Buildings & utilities	Gas	Gas - CCC sites	Gas purchased for CCC buildings	" 6,357,552 "	kWh (Gross CV)	  0.18387	" 1,168.96 "	Energy data	EIU	Got
1	Buildings & utilities	Oil	Oil (heating oil) - CCC sites	Oil purchased for CCC buildings	" 248,635 "	kWh (Gross CV)	  0.24666	 61.33 	Energy data	Property	Got
1	Buildings & utilities	Diesel	Diesel (for generators)	Diesel purchased for generators at CCC buildings		litres	  2.54603	 -   	Invoices?	Property	Missing
1	Buildings & utilities	Refrigerant gases	Refrigerant gases: R32 air con	Top up gases for air con units - gas R32	 -   	kg	675	 -   	Air con service reports	Property	Estimated
1	Buildings & utilities	Refrigerant gases	Refrigerant gases: R407C air con	Top up gases for air con units - gas R407C	 -   	kg	1774	 -   	Air con service reports	Property	Estimated
1	Buildings & utilities	Refrigerant gases	Refrigerant gases: R410A air con	Top up gases for air con units - gas R410A	 11 	kg	2088	 23.55 	Air con service reports	Property	Estimated
1	Transport	Business travel	"Passenger vehicles (pool cars - small car, petrol)"	Miles travelled (only for vehicles where fuel consumption not known)	" 11,396 "	miles	  0.23877 	 2.72 	Pool cars MI reports from Enterprise	Property	Got
1	Transport	Business travel	"Passenger vehicles (pool cars -small car, hybrid)"	Miles travelled (only for vehicles where fuel consumption not known)	 640 	miles	  0.16538 	 0.11 	Pool cars MI reports from Enterprise	Property	Got
1	Transport	Social and education transport	Passenger vehicles: social and educational transport fleet - diesel	fuel used by passenger transport / minibuses (diesel)	" 13,398 "	litres	  2.54603	 34.11 		Social & Education Transport	Got
1	Transport	Business travel	Fuel purchased on fuelcards for all other fleet vehicles - diesel	Diesel	" 46,239 "	litres	  2.54603	 117.73 	Fuelcard reports	Property	Got
1	Transport	Business travel	Fuel purchased on fuelcards for all other fleet vehicles - petrol	Petrol purchased on fuelcards	 410 	litres	  2.16802	 0.89 	Fuelcard reports	Property	Got
1	Transport	Highways	Highways maintenance vehicles + Gritting fleet. Diesel	Diesel Fuel purchased + fuel withdrawn from bulk tanks	" 103,530 "	litres	  2.54603	 263.59 	Milestone report	Highways	Got
1	Transport	Highways	Highways maintenance vehicles + Gritting fleet. Red diesel	Red diesel	" 54,801 "	litres	  2.75776	 151.13 	Milestone report	Highways	Got
1	Transport	Highways	Highways maintenance vehicles + Gritting fleet. HVO	HVO biofuel	" 76,894 "	litres	  0.16580	 12.75 	Milestone report	Highways	Got
1	Transport	Highways	Highways maintenance vehicles using petrol	Petrol purchased on fuelcards	" 3,450 "	litres	  2.16802	 7.48 	Milestone report	Highways	Got
2	Buildings & utilities	Electricity for buildings	Electricity	Electricity purchased for CCC buildings etc	" 7,929,179 "	kWh	  0.23314 	" 1,848.61 "	Energy data	EIU	Got
2	Buildings & utilities	Electricity for street lighting	Electricity	Electricity purchased for streetlighting 	" 10,892,010 "	kWh	  0.23314 	" 2,539.36 "	Energy data	EIU	Got
3	Schools (maintained)	Schools gas	Gas - Cambridgeshire schools		" 21,486,150 "	kWh (Gross CV)	  0.18387	" 3,950.66 "	Energy data	EIU	Got
3	Schools (maintained)	Schools oil	Burning oil for Cambs maintained schools	Oil data provided by schools	" 259,828 "	litres	  2.54039	 660.06 	schools	Schools	Got
3	Schools (maintained)	Schools other heating fuels	LPG (aka Propane gas) for Cambs maintained schools	Data provided by schools	"46,247.00"	litres	  1.55537	 71.93 	schools	Schools	Got
3	Schools (maintained)	Schools other heating fuels	Gas oil (AKA red diesel)	Data provided by schools	" 12,145 "	litres	  2.75776	 33.49 	schools	Schools	Got
3	Schools (maintained)	Schools electricity	Electricity - Cambridgeshire schools	kWh of electricity used by schools	" 7,434,128 "	kWh	  0.23314 	" 1,733.19 "	Energy data	EIU	Got
3	Buildings & utilities	Gas	WTT - gas	Gas purchased for CCC buildings	" 6,357,552 "	kWh (Gross CV)	  0.02391	 152.01 	same as data that WTT relates to	n/a	Got
3	Buildings & utilities	Oil	WTT - oil	Oil purchased for CCC buildings	" 248,635 "	kWh (Gross CV)	  0.0513 	 12.75 	same as data that WTT relates to	n/a	Got
